similarities
0 8210 10260 1691 2053 7656 5370 5375 10273 17 4812 6664 59 1605 4535 3786 719 4624 3697 7216 5761 7642 5749 4131 4536 78 208 4821 5371 9551
1 616 9613 940 8209 273 2798 6550 3340 5813 2797 8194 5268 7476 272 2750 9273 2796 9996 7204 5529 4432 9394 4394 5021 5014 4283 3868 1692 8829
2 1851 10338 4347 525 8792 2016 10326 1402 9691 9233 3296 7244 28 2739 7260 2638 9250 7371 6023 6451 965 5421 8297 1056 1676 3133 7374 6554 7171
3 5646 4537 10568 3987 7920 7544 8155 1035 8537 9930 9254 6772 3651 1172 7359 10238 3074 1263 9625 139 2099 159 10147 7842 1123 4644 3451 3625 8538
4 2839 5593 7040 2683 7877 2461 8976 3179 4850 8641 7401 2998 1397 8945 6852 2788 2747 10129 6657 10550 405 2334 10223 1532 2095 5297 4278 704 7555
5 1722 6366 443 1962 139 6992 7786 7590 7006 669 2527 6143 2103 1669 4922 1171 1152 1855 6584 5390 10161 8681 660 7166 5169 8768 9227 7371 2974
6 4116 4118 3169 3090 5914 1948 7963 438 69 758 1356 8173 548 5279 2883 5680 4425 617 6217 9124 3375 3445 7378 2485 57 7223 8516 2397 3302
7 135 5931 2597 4268 8414 1128 3446 8280 8004 4682 8589 2498 1887 3476 9367 9946 4557 6140 2018 3950 9689 9664 4743 6422 3763 4689 7944 5582 7629
8 4244 6347 5507 9680 5022 6736 7906 7410 880 8891 4695 5331 7815 3317 843 9124 7955 8872 1415 4024 98 9940 5694 497 2611 579 946 1302 823
9 7636 9504 2171 2920 5176 6315 637 10599 2515 2833 1432 2239 166 10572 4425 4509 1460 1044 598 3680 5443 4790 81 16 852 2664 4587 7297 9857
10 8620 2714 1492 1493 9505 8728 7349 5930 21 1340 4652 24 2683 2128 4427 1752 2498 5566 6880 5009 6881 9084 9475 3962 9644 7008 8217 3255 9415
11 3493 6652 3105 8889 1792 3879 8623 6372 3583 6855 8192 3711 1093 3618 5026 400 4339 8164 5474 9633 919 3641 1635 3767 7803 2444 8764 5533 7960
12 4619 7882 7914 6618 7491 3612 5085 4232 3491 252 9912 1826 622 2036 2305 1757 3826 1898 3676 10503 7244 368 6799 1054 4382 3484 6540 1961 5879
13 9109 3341 7600 1679 9447 9344 4997 9067 6778 10536 132 5214 3490 5231 9768 7358 6183 775 6603 8691 61 569 9612 582 10447 4182 6869 9973 5252
14 9602 10121 6823 10427 415 2432 9959 5964 4030 712 5057 5943 9217 5414 4639 1882 4334 6721 1615 4286 9946 10028 5087 7390 5230 502 3843 2984 6031
15 7353 6157 4621 4344 7163 4867 3456 7591 7035 8098 10470 3564 6206 7942 3612 1798 185 1796 8350 5590 8694 2763 1797 9357 4616 7226 2882 6490 8476
16 3680 4672 10565 4610 3235 2090 1066 10010 1415 2997 8118 2678 2926 7420 6445 4922 7785 8734 451 6843 4631 9786 7036 9845 6387 9323 7839 8859 4179
17 59 2798 8209 10272 7642 8186 616 8210 1692 7656 2797 663 89 3868 5761 3152 7657 9551 8787 3964 1 10260 7216 4131 5375 5370 2653 4812 4731
18 6205 6993 8505 5765 6767 2857 7690 5155 6095 9208 8923 4865 7197 4124 9952 5452 8844 2177 6504 8765 7292 5477 4463 7531 9917 480 6231 9387 10081
19 4224 9974 3636 1928 5547 8881 6326 3341 6617 3789 4469 6856 7583 9405 2740 8624 3133 1320 6392 4271 49 6852 10477 4696 4125 2800 8568 863 4865
20 1992 4551 4553 4552 5151 10281 2579 1714 10284 4721 2534 10286 8757 9384 857 3356 2399 7900 7588 7437 4683 622 5134 3486 7994 3222 973 4220 2565
21 24 4652 2683 5930 2128 1752 5566 3255 6880 6881 3962 9084 9475 2961 8217 9415 7008 7349 1529 7602 3317 6177 4862 937 6935 9920 1659 9284 6391
22 2773 3504 777 2634 5979 6699 8953 6303 6626 9947 8814 4177 1168 8092 5526 4746 5191 4284 9431 6338 833 8000 48 9139 371 8918 7229 9140 9258
23 9734 5045 7821 9849 598 5672 6490 5631 4420 9203 10526 7641 6024 1342 4680 7629 303 10121 3141 7350 3323 1164 7359 9828 9728 10519 2275 5221 6225
24 4652 2683 21 2128 1752 6880 5566 3255 5930 6881 8217 9084 9475 3962 7008 9415 2961 7349 1529 7602 6391 3317 6935 6177 4862 937 9284 1659 9722
25 7588 3324 4683 8988 5134 549 3460 642 1656 1876 2317 5824 2756 1196 4499 9345 3004 8496 5869 6344 2565 1398 6376 722 6791 4018 160 6428 5631
26 4455 4082 2581 138 341 746 598 9906 606 6617 5324 10468 743 8892 3724 481 1415 5530 8412 6045 5608 4363 3694 1310 6811 8911 2305 7060 4557
27 4617 3078 1202 771 6524 6527 1249 6526 166 1886 948 1822 1820 3317 1246 1041 1093 2698 945 3242 4790 957 5401 1040 4695 1220 5044 669 1127
28 2240 2090 10010 1415 276 8083 2678 7420 4922 7199 451 2 10338 8792 9786 2016 525 1441 9845 4634 1402 9233 1146 9691 9719 9534 7244 3030 8807
29 10070 98 688 2160 497 4880 1475 7394 1996 1372 6326 8107 10491 4216 7302 7706 5651 9631 9145 8997 5759 4125 1341 7490 1851 9196 6246 1371 1721
30 8346 10435 1397 7401 4850 3179 8641 2998 10550 5297 7555 2788 2095 6657 2334 405 8945 4278 5030 3514 1669 6852 5066 414 7556 1663 5812 10223 1989
31 10392 4209 5589 3027 1796 9651 429 243 9463 5102 6417 8732 6479 5538 187 6440 7344 7482 145 7591 6296 1700 2823 10470 8215 6592 4621 3456 8098
32 4693 9928 5038 7190 5505 680 2766 3584 3216 1253 1246 5937 4545 5297 6666 6133 8049 3781 3585 4392 3801 8720 527 5802 3796 1732 6869 9819 2833
33 868 6166 4223 4609 1151 10528 653 208 2403 4659 7986 8916 6905 4924 259 1316 6213 4298 6057 8111 6080 4927 6775 3935 7511 2857 4925 1777 677
34 3957 3001 8112 4805 7921 1791 4898 6510 6709 10151 6509 2350 9620 1805 5398 8111 5971 4816 7840 462 775 7878 2975 5408 1965 1239 5071 1305 2432
35 4669 71 202 2954 1389 4198 10198 7649 9560 1096 234 8097 404 9611 1102 6819 8996 9283 323 6021 1097 9696 2258 211 9759 1561 5742 405 6773
36 572 386 2669 6435 9335 2706 8640 3241 6129 7472 9885 8390 1015 6103 165 9645 9430 7308 6138 3428 8077 929 5281 7538 8033 7938 6066 1897 5809
37 6507 6506 6036 5221 6038 4168 1696 134 4762 3839 4784 3589 96 1245 7555 1984 6110 9092 8012 4723 6295 6752 3923 7554 8089 7256 2521 290 10295
38 3355 5480 2147 6385 5613 968 4110 6005 1337 62 5338 2452 6798 10207 3405 7590 6942 10588 2287 4775 3876 6836 7319 4897 9078 6516 7790 6004 9363
39 4137 10229 98 497 10340 2160 5694 1996 3746 1475 4880 7394 6326 1371 7941 2840 8107 1372 7706 10491 8997 8533 6246 4216 5651 4125 9196 2782 1851
40 3536 4817 59 1434 8100 906 10571 897 5175 656 5092 6458 3271 8757 9195 538 8788 7293 3941 579 5254 4302 4802 3344 3511 8639 7001 7249 9066
41 4481 5916 3321 581 10547 6658 3943 7906 8176 2019 1786 4194 8468 7437 9614 7664 493 7864 467 539 7605 2632 4195 8657 2290 6819 2734 10001 4648
